filename,cell_line,degradation,method,iou,improvement
MCF7_Phase_E4_1_03d04h00m_1,MCF7,noise_50,DoG_filter,0.43196774233601115,0.0020985845024071303
MCF7_Phase_E4_1_03d04h00m_1,MCF7,noise_50,DeBCR+DoG,0.4395824945024313,0.009713336668827288
MCF7_Phase_E4_1_03d04h00m_1,MCF7,HQ_reference,raw_HQ,0.5610099711397738,0.13114081330616978
MCF7_Phase_E4_1_03d04h00m_1,MCF7,combined_mild,raw,0.41126989178866963,0.0
MCF7_Phase_E4_1_03d04h00m_1,MCF7,combined_mild,DeBCR,0.39150865149040426,-0.01976124029826537
MCF7_Phase_E4_1_03d04h00m_1,MCF7,combined_mild,PI-DDPM,0.3964769656343025,-0.014792926154367114
MCF7_Phase_E4_1_03d04h00m_1,MCF7,combined_mild,PSF-Learning,0.282356783107544,-0.12891310868112565
MCF7_Phase_E4_1_03d04h00m_1,MCF7,combined_mild,DoG_filter,0.4458546866742863,0.034584794885616665
MCF7_Phase_E4_1_03d04h00m_1,MCF7,combined_mild,DeBCR+DoG,0.46143459299673373,0.0501647012080641
MCF7_Phase_E4_1_03d04h00m_1,MCF7,HQ_reference,raw_HQ,0.5610099711397738,0.14974007935110417
MCF7_Phase_E4_1_03d08h00m_1,MCF7,noise_50,raw,0.4451696731613428,0.0
MCF7_Phase_E4_1_03d08h00m_1,MCF7,noise_50,DeBCR,0.44049685513559855,-0.004672818025744263
MCF7_Phase_E4_1_03d08h00m_1,MCF7,noise_50,PI-DDPM,0.4406806456222277,-0.00448902753911512
MCF7_Phase_E4_1_03d08h00m_1,MCF7,noise_50,PSF-Learning,0.32086151363685067,-0.12430815952449215
MCF7_Phase_E4_1_03d08h00m_1,MCF7,noise_50,DoG_filter,0.4515143347738264,0.006344661612483593
MCF7_Phase_E4_1_03d08h00m_1,MCF7,noise_50,DeBCR+DoG,0.45133373102510604,0.006164057863763228
MCF7_Phase_E4_1_03d08h00m_1,MCF7,HQ_reference,raw_HQ,0.5867451192791551,0.14157544611781225
MCF7_Phase_E4_1_03d08h00m_1,MCF7,combined_mild,raw,0.40699242497723737,0.0
MCF7_Phase_E4_1_03d08h00m_1,MCF7,combined_mild,DeBCR,0.4131622891209014,0.00616986414366405
MCF7_Phase_E4_1_03d08h00m_1,MCF7,combined_mild,PI-DDPM,0.41701093863683913,0.010018513659601769
MCF7_Phase_E4_1_03d08h00m_1,MCF7,combined_mild,PSF-Learning,0.2902231986168705,-0.11676922636036685
MCF7_Phase_E4_1_03d08h00m_1,MCF7,combined_mild,DoG_filter,0.45293917053194477,0.0459467455547074
